"Table A1.  Grand-design and Flocculent galaxies identiﬁed from SDSS. F: Flocculent ( p F = 1); f: Flocculent (0.8 ≤ p F < 1); G: Grand-design","","","","","","",""
"( p G = 1); g: Grand-design (0.8 ≤ p G < 1).","","","","","","",""
"galaxy","class","galaxy","class","galaxy","class","galaxy","class"
"J002624.97 + 010112.0","F","J080845.83 + 181139.1","g","J084614.11 + 413447.2","g","J091633.43 + 395222.0","F"
"J002820.53-001304.2","G","J080959.95 + 400611.4","F","J084645.21 + 065735.8","G","J091639.79 + 071558.9","F"
"J003514.53 + 004145.5","g","J081200.33 + 192147.4","g","J084706.91 + 281411.6","G","J091644.18 + 195608.5","F"
"J003934.83 + 005135.8","F","J081246.43 + 262142.4","F","J084806.88 + 415133.2","F","J091814.20 + 453906.0","F"
"J004037.85-001950.4","F","J081314.20 + 522731.4","G","J084824.64 + 181952.0","F","J091859.85 + 511924.2","F"
"J004215.87 + 005043.7","G","J081321.11 + 575108.0","G","J084825.19 + 234337.7","g","J091933.11 + 055257.9","G"
"J004351.87 + 004807.0","F","J081416.48 + 182626.4","F","J084840.22 + 010219.6","G","J091937.94 + 272728.0","G"
"J005751.70-010809.6","G","J081422.03 + 391504.8","G","J084922.55 + 364237.2","G","J091953.44 + 480558.2","F"
"J005848.86 + 003514.1","F","J081602.15 + 283729.0","F","J084927.19 + 293111.8","F","J092032.71 + 174207.8","F"
"J005942.12 + 005459.7","F","J081618.48 + 522518.9","F","J085241.66 + 404104.0","F","J092040.65 + 150603.4","G"
"J011233.68 + 001736.2","F","J081625.36 + 255928.8","G","J085311.32 + 090853.3","g","J092041.03 + 181422.4","G"
"J011832.25-011150.4","G","J081759.80 + 463414.7","F","J085335.85 + 452007.8","F","J092054.48 + 280913.6","F"
"J012223.77-005230.7","g","J081915.52 + 244733.5","F","J085421.60 + 324051.0","f","J092101.68 + 390923.6","F"
"J015148.51 + 001549.7","G","J081932.11 + 212339.4","f","J085552.29 + 023127.4","F","J092206.21 + 035350.1","F"
"J015840.93 + 003145.1","g","J082016.56 + 205230.2","F","J085640.68 + 002230.0","F","J092238.18 + 605155.6","F"
"J020212.33-000602.2","G","J082040.80 + 255419.2","f","J085658.00 + 520357.4","G","J092253.06 + 215830.6","G"
"J021219.68-004841.4","G","J082046.07 + 163844.8","G","J085701.08 + 131156.7","f","J092253.83 + 291944.4","F"
"J022854.70 + 002213.1","F","J082049.32 + 223927.9","F","J085850.47 + 061734.7","f","J092308.11 + 022909.8","F"
"J024927.95-005222.7","g","J082059.90 + 551630.4","g","J090007.89 + 165526.4","F","J092313.36 + 023604.6","F"
"J025627.12 + 005232.7","g","J082202.66 + 571830.3","F","J090015.62 + 401748.3","G","J092317.35 + 401200.2","F"
"J072333.23 + 412605.6","F","J082210.67 + 031604.9","g","J090020.25 + 522939.2","g","J092319.53 + 221625.2","g"
