Étoile,Filtre,D_maj_mas,sigma_D_maj_mas,D_min_mas,sigma_D_min_mas,b_a,e,X0_mas,Y0_mas,theta_deg,Cout,Contraste
17_Lep,I_PRIM,107.72735126198361,6.8,81.01040741537588,6.8,0.751994794881437,0.24800520511856305,-4.273648669565628,-0.6246326130645201,134.25654593909226,0.05780845556514236,0.03
AC_Cet,V,99.79751505729847,6.8,88.87978804044836,6.8,0.8906012137618684,0.1093987862381316,-2.358162569692726,4.163515111330687,134.67726604835642,0.07999999999999996,0.03
AK_Hya,N_R,102.1476307902506,6.8,101.45308574898958,6.8,0.9932005761084445,0.006799423891555523,0.8975900355990916,-5.579291623643819,133.9682323669496,0.09971509971509973,0.04
Alpha_Her,V,375.82515861164063,6.8,374.06551753410804,6.8,0.9953179263356583,0.004682073664341702,7.979214963210109,1.06885349618762,135.21730103666135,0.32793460985393175,0.03
BK_Vir,V,112.8764930295239,6.8,73.74779666453668,6.8,0.6533494679467695,0.3466505320532305,1.4784687920731259,-5.001722352396013,138.56575312195463,0.11247803163444636,0.04
BW_Oct,N_R,122.45797178356516,6.8,92.10338769267642,6.8,0.7521224331190289,0.24787756688097107,-0.39187035738038956,-5.480378228836716,139.87011181401695,0.11605937921727394,0.03
Beta_Gru,V,82.39483228257126,6.8,77.29222657270805,6.8,0.9380712895638414,0.06192871043615855,1.550747038581494,-2.175960740003377,133.75697993405865,0.05964912280701751,0.04
CW_Cnc,I_PRIM,98.38588978533906,6.8,89.07869453784873,6.8,0.9054011172964231,0.09459888270357686,-6.073212184818969,-1.9797012083964916,134.14791145499998,0.04672897196261683,0.03
Chi_Cyg,Cnt748,131.68133929501147,6.8,125.965816929156,6.8,0.9565958062360624,0.04340419376393756,-2.8400850404039546,-1.3277306277333054,133.31669130343673,0.054151624548736454,0.03
DZ_Aqr,V,76.8730477632621,6.8,59.0094194040114,6.8,0.7676216973436069,0.23237830265639314,-8.581021166919532,1.0518675011324603,134.05463358884546,0.09999999999999998,0.04
GY_Aql,VBB,158.1678893892433,6.8,124.0317205319561,6.8,0.784177629295667,0.21582237070433297,4.262700809385964,1.0701620156660652,134.13331764074556,0.09182879377431907,0.04
L02_Pup,N_R,389.55104486182233,6.8,344.5374305816137,6.8,0.8844474559266671,0.11555254407333293,-18.855366711822185,-40.86025341412712,132.14818505968043,0.0980966325036603,0.03
Mira,Cnt820,123.95573322950716,6.8,95.94953178301247,6.8,0.7740628794100188,0.22593712058998117,-7.422618533076125,-3.2089137153750356,136.03515218730826,0.0624620982413584,0.03
Pi.01_Gru,Cnt820,121.19143214352316,6.8,102.55676805976265,6.8,0.8462377764321485,0.15376222356785152,-0.5175760116876418,-4.616114201659774,130.2498710814531,0.14124293785310738,0.04
Psi_Phe,V,79.72963321887991,6.8,62.42129782125592,6.8,0.7829121407079872,0.2170878592920128,-4.974568576652456,-8.835189704827988,131.50582421794275,0.08714918759231904,0.04
RT_Vir,V,95.15485814359263,6.8,91.32470910013703,6.8,0.9597482554419265,0.040251744558073455,-7.408214275862029,-3.3757053586207033,133.81289999999998,0.06598114824335899,0.03
RX_Lep,CntHa,103.62745271173712,6.8,93.8739133194,6.8,0.9058788078148678,0.09412119218513215,-1.132618369653656,-5.025878441813558,136.37503789516367,0.05854800936768145,0.03
R_Aql,N_R,76.71571299550214,6.8,72.98577037986837,6.8,0.9513796786865234,0.0486203213134766,-8.304874836882279,-8.593667937646176,134.1434907525658,0.07323568575233019,0.04
R_Crt,N_R,151.3706556358547,6.8,121.3798696954391,6.8,0.8018718633777802,0.19812813662221984,-5.198455225997497,-6.998921239594208,149.31454402896608,0.022432113341204207,0.03
R_Dor,Cnt748,214.7711955396386,6.8,184.89537452771782,6.8,0.8608946561159928,0.1391053438840072,-3.0913742295377373,-0.8370269654321874,125.19030739761983,0.015679763881202735,0.03
R_Hor,N_R,92.98917920101782,6.8,84.06895618883448,6.8,0.9040724620990557,0.09592753790094433,-5.242232049139631,-0.2928929494539275,133.19864918964416,0.10433070866141736,0.03
R_Hya,CntHa,139.0559023687896,6.8,129.04164834101198,6.8,0.9279839700639326,0.07201602993606737,-7.397988950612867,-0.3883553135804874,132.93867773116256,0.06428867689755291,0.03
R_Leo,V,207.5660662312636,6.8,162.8557418766753,6.8,0.7845971397618846,0.2154028602381154,-1.1040102777303147,8.108443194419731,104.97755517008564,0.048738033072236675,0.04
R_Peg,V,90.5149104452076,6.8,82.05120277628377,6.8,0.9064937740390601,0.09350622596093994,-6.740462407457713,-2.948863976524197,135.782511021303,0.08850457782299082,0.03
R_Scl,N_R,91.25344653314991,6.8,90.68621948312612,6.8,0.9937840479283405,0.006215952071659481,-6.247008320063443,-7.258311999970604,132.03550887339026,0.06877323420074355,0.03
SV_Aqr,VBB,73.28418999666599,6.8,51.85895576878609,6.8,0.7076417951968272,0.29235820480317276,-0.09699195086411691,-10.651802715069715,136.3721840938207,0.1598513011152416,0.04
SW_Col,N_R,193.82962753836597,6.8,88.19547990227662,6.8,0.4550154742717003,0.5449845257282997,-4.457525830419064,-11.939777401651758,137.8785859895964,0.07145950627977482,0.03
SW_Vir,N_R,125.6591569693868,6.8,104.62628187422841,6.8,0.8326196386922885,0.1673803613077115,-6.149240830486775,-3.496945572977515,131.21733124980273,0.05159165751920969,0.04
S_Lep,I_PRIM,118.13414830346798,6.8,96.8865646490472,6.8,0.8201402053550249,0.17985979464497515,-4.004421217573385,1.1446658326896397,136.1814161367785,0.07936507936507942,0.03
S_Pav,N_R,111.54500975838714,6.8,100.18984374494661,6.8,0.8982010397593182,0.1017989602406818,0.6392707644811366,2.0890239354680147,134.18221360970293,0.05227427019687714,0.03
T_Cet,B_Ha,90.66659865303033,6.8,75.44528113866902,6.8,0.8321176955958017,0.16788230440419827,-3.5416395789122874,2.2389658375962314,133.18702332067596,0.06434023991275895,0.03
T_Mic,N_R,90.21583425096141,6.8,77.39329180386856,6.8,0.8578681607995418,0.14213183920045824,1.8521335116098128,1.035955350015078,136.32149350186492,0.07165775401069518,0.04
U_Del,CntHa,111.5373233794009,6.8,90.58377286471594,6.8,0.8121386646207189,0.18786133537928107,2.1712976224446834,0.7601149077142423,132.37339861875208,0.12426035502958577,0.03
U_Her,VBB,196.65103083724668,6.8,162.73671757832545,6.8,0.8275406281140242,0.17245937188597582,-15.620154520599394,25.4823107363086,132.32852089531846,0.041724617524339314,0.03
Ups_Cet,N_R,83.40852766875992,6.8,68.95144377256193,6.8,0.8266713931984105,0.17332860680158946,-4.346261789819217,-3.9573983399073724,136.79793091420032,0.11664482306684143,0.03
V1943_Sgr,N_R,94.47565310614591,6.8,91.91453749054735,6.8,0.9728912631837423,0.027108736816257695,-6.481945880201326,-0.7282604296070474,131.521951777908,0.05290102389078499,0.03
V_Hya,N_R,76.10317214872715,6.8,69.77835108218794,6.8,0.9168914923259871,0.0831085076740129,1.300116680530634,-7.282177850062172,132.87468516832533,0.05737704918032782,0.04
V_PsA,N_R,129.36592494031515,6.8,121.44755425538308,6.8,0.9387909088998102,0.061209091100189794,-7.367081353505654,-3.685997629150499,135.30687783833852,0.04196133899104193,0.04
W_Aql,VBB,342.57440277410086,6.8,266.7144583291707,6.8,0.7785592156605073,0.22144078433949266,38.30256502599275,32.83983766873315,135.66481515872732,0.0727068384196421,0.04
W_Hya,Cnt748,238.66443657409934,6.8,216.66046304065466,6.8,0.9078037186884649,0.09219628131153512,-9.321163171654115,0.3258994442769335,133.60201656835386,0.031258880363739694,0.03
W_Peg,N_R,109.44147976290395,6.8,92.03270531283844,6.8,0.8409307468449788,0.15906925315502118,-10.166243086674195,-6.207374102550126,136.13431087542062,0.046199701937406856,0.04
Y_Pav,N_R,82.89891979867551,6.8,74.41485506724638,6.8,0.8976577167466941,0.10234228325330585,-4.342598397126738,-3.4782671596286034,133.71861021514928,0.08910891089108908,0.03
Y_Scl,V,73.27766608346386,6.8,65.15681893850018,6.8,0.8891770497205251,0.11082295027947486,0.8033461807699652,4.623645887609741,134.400783416175,0.062003179650238494,0.04
Z_Eri,V,88.42330122993138,6.8,84.58519928624773,6.8,0.9565939985241758,0.043406001475824185,-3.201230939002494,-5.215704353269501,133.64794065819527,0.1070707070707071,0.03
Z_Peg,N_R,92.8533274308117,6.8,92.0486387127116,6.8,0.9913337654086795,0.008666234591320543,-3.737850489543787,-0.934170716379137,131.63755211753391,0.0678260869565217,0.04
