Star,Filter,FWHM_Star,FWHM_PSF,Ratio,Has_PSF
DZ_Aqr,V,,,,True
DZ_Aqr,N_R,,,,True
IRC+10420,V,,,,True
IRC+10420,N_R,,,,False
IRC+10420,I_PRIM,,15.271468408174712,,False
IRC+10420,R_PRIM,,,,False
IRC+10420,Cnt820,,,,True
RT_Vir,Cnt820,,,,False
RT_Vir,V,,,,False
R_Scl,V,,,,True
R_Scl,N_R,,,,True
T_Mic,Cnt820,,,,True
T_Mic,Cnt748,,,,True
T_Mic,V,,,,True
T_Mic,N_R,,,,True
Mira,Cnt820,,,,True
Mira,Cnt748,,,,True
Mira,CntHa,,,,True
Mira,N_Ha,,,,False
Mira,B_Ha,,,,True
Mira,N_R,,,,True
Mira,V,,,,True
Y_Oph,N_R,,,,True
Y_Oph,V,,,,True
Z_Peg,V,,,,True
Z_Peg,N_R,,,,True
SV_Aqr,VBB,,,,True
UY_Sct,Cnt820,,,,False
UY_Sct,V,,,,False
RX_Lep,CntHa,,,,True
RX_Lep,N_R,95.86040116927725,,,False
V1943_Sgr,V,,,,True
V1943_Sgr,N_R,,,,True
R_Dor,V,,,,False
R_Hor,V,,,,True
R_Hor,N_R,,,,True
CW_Cnc,I_PRIM,,15.271468408174712,,False
Z_Eri,V,,,,False
Z_Eri,N_R,,,,False
AK_Hya,N_R,,,,True
AK_Hya,R_PRIM,,,,False
EU_Del,Cnt820,16.777431557364316,,,False
EU_Del,V,13.539352535594269,,,False
Y_Scl,V,,,,True
Y_Scl,N_R,,,,True
Y_Scl,R_PRIM,,,,False
Y_Scl,VBB,,,,True
R_Hya,V,,,,False
R_Hya,Cnt748,,,,False
R_Hya,CntHa,,,,False
R_Hya,Cnt820,,,,False
SW_Vir,N_R,,,,False
VX_Sgr,Cnt820,,,,False
VX_Sgr,V,,,,False
Pi.01_Gru,Cnt820,8.858240555135971,,,False
Pi.01_Gru,Cnt748,9.988414665669922,,,False
Pi.01_Gru,V,,,,True
Pi.01_Gru,N_R,,,,True
Chi_Cyg,V,,,,True
Chi_Cyg,Cnt748,,,,True
Chi_Cyg,CntHa,,,,True
Chi_Cyg,B_Ha,,,,True
R_Peg,V,,,,True
R_Peg,N_R,,,,True
V_Hya,V,,,,True
V_Hya,N_R,,,,True
V_Hya,Cnt748,,,,True
AC_Cet,V,,,,True
AC_Cet,N_R,,,,True
BK_Vir,Cnt820,,,,False
S_Pav,Cnt820,,,,True
S_Pav,Cnt748,,,,True
S_Pav,N_R,,,,True
KW_Sgr,VBB,,,,True
17_Lep,I_PRIM,,15.271468408174712,,False
R_Leo,V,,,,False
R_Leo,Cnt748,,,,False
BW_Oct,V,,,,True
BW_Oct,N_R,,,,True
V_Psa,N_R,,,,False
R_Crt,N_R,,,,True
W_Hya,Cnt820,,,,False
W_Hya,Cnt748,,,,False
V854_Cen,I_PRIM,,15.271468408174712,,False
V854_Cen,V,,,,False
Psi_Phe,V,,,,True
Psi_Phe,N_R,,,,True
SW_Col,V,,,,True
SW_Col,N_R,,,,True
R_Aqr,CntHa,,,,False
R_Aqr,N_Ha,,,,False
R_Aqr,V,,,,True
Y_Pav,V,,,,True
Y_Pav,N_R,,,,True
GY_Aql,VBB,,,,True
T_Cet,V,10.806247495421154,,,True
T_Cet,N_R,12.578049379180008,,,True
T_Cet,CntHa,,,,True
T_Cet,B_Ha,,,,True
AH_Sco,Cnt820,,,,False
AH_Sco,Cnt748,,,,False
AH_Sco,N_R,,,,False
AH_Sco,V,,,,False
Bet_Gru,V,,,,True
Bet_Gru,N_R,,,,True
U_Her,VBB,,,,False
*L02_Pup,V,,,,True
*L02_Pup,N_R,,,,True
W_Peg,V,,,,True
W_Peg,N_R,,,,True
Ups_Cet,V,,,,True
Ups_Cet,N_R,,,,True
Alpha_Her,V,,,,True
Alpha_Her,Cnt748,,,,True
W_Aql,VBB,,,,False
R_Aql,Cnt820,,,,True
R_Aql,Cnt748,,,,True
R_Aql,N_R,,,,True
S_Lep,I_PRIM,,15.271468408174712,,False
