Star,Filter,Star FWHM,PSF FWHM,Ratio,Uncertainty,Has PSF,Group
DZ_Aqr,V_N_R,0,0,,0.0,True,Non résolu
IRC+10420,V_N_R,0,0,,0.0,True,Non résolu
IRC+10420,I_PRIM_R_PRIM,1,1,1.0,0.1,False,Non résolu
IRC+10420,Cnt820,0,1,0.0,0.0,True,Non résolu
IRC+10420,V,0,1,0.0,0.0,True,Non résolu
RT_Vir,Cnt820,1,1,1.0,0.1,True,Non résolu
RT_Vir,V,1,1,1.0,0.1,True,Non résolu
R_Scl,V_N_R,1,0,inf,0.1,True,Nettement résolu
T_Mic,Cnt820_Cnt748,1,1,1.0,0.1,True,Non résolu
T_Mic,V_N_R,0,0,,0.0,True,Non résolu
T_Mic,N_R,1,1,1.0,0.1,True,Non résolu
Mira,Cnt820_Cnt748,0,1,0.0,0.0,True,Non résolu
Mira,CntHa_N_Ha,0,1,0.0,0.0,False,Non résolu
Mira,CntHa_B_Ha,1,1,1.0,0.1,True,Non résolu
Mira,N_R,1,1,1.0,0.1,True,Non résolu
Mira,V,1,1,1.0,0.1,True,Non résolu
Y_Oph,N_R,1,1,1.0,0.1,True,Non résolu
Y_Oph,V,1,1,1.0,0.1,True,Non résolu
Z_Peg,V_N_R,0,0,,0.0,True,Non résolu
SV_Aqr,VBB,1,1,1.0,0.1,True,Non résolu
UY_Sct,Cnt820,1,1,1.0,0.1,True,Non résolu
UY_Sct,V,1,1,1.0,0.1,True,Non résolu
RX_Lep,CntHa,1,1,1.0,0.1,True,Non résolu
RX_Lep,N_R,1,1,1.0,0.1,True,Non résolu
V1943_Sgr,V_N_R,0,0,,0.0,True,Non résolu
R_Dor,V,1,1,1.0,0.1,True,Non résolu
R_Hor,V_N_R,0,0,,0.0,True,Non résolu
CW_Cnc,I_PRIM,1,1,1.0,0.1,True,Non résolu
Z_Eri,V_N_R,0,0,,0.0,True,Non résolu
AK_Hya,N_R,1,1,1.0,0.1,True,Non résolu
AK_Hya,R_PRIM,1,1,1.0,0.1,False,Non résolu
EU_Del,Cnt820,1,1,1.0,0.1,True,Non résolu
EU_Del,V,1,1,1.0,0.1,True,Non résolu
Y_Scl,V_N_R,0,0,,0.0,True,Non résolu
Y_Scl,R_PRIM,1,1,1.0,0.1,False,Non résolu
Y_Scl,VBB,1,1,1.0,0.1,True,Non résolu
R_Hya,V_Cnt748,0,1,0.0,0.0,True,Non résolu
R_Hya,CntHa,1,1,1.0,0.1,True,Non résolu
R_Hya,Cnt820,1,1,1.0,0.1,True,Non résolu
SW_Vir,N_R,1,1,1.0,0.1,True,Non résolu
VX_Sgr,Cnt820,1,1,1.0,0.1,True,Non résolu
VX_Sgr,V,1,1,1.0,0.1,True,Non résolu
Pi.01_Gru,Cnt820_Cnt748,1,1,1.0,0.1,True,Non résolu
Pi.01_Gru,V_N_R,0,0,,0.0,True,Non résolu
Chi_Cyg,V_Cnt748,0,1,0.0,0.0,True,Non résolu
Chi_Cyg,CntHa_B_Ha,0,1,0.0,0.0,True,Non résolu
R_Peg,V_N_R,0,0,,0.0,True,Non résolu
V_Hya,V_N_R,0,0,,0.0,True,Non résolu
V_Hya,V_Cnt748,0,1,0.0,0.0,True,Non résolu
AC_Cet,V_N_R,0,0,,0.0,True,Non résolu
BK_Vir,Cnt820,1,1,1.0,0.1,True,Non résolu
S_Pav,Cnt820_Cnt748,1,1,1.0,0.1,True,Non résolu
S_Pav,N_R,1,1,1.0,0.1,True,Non résolu
KW_Sgr,VBB,0,1,0.0,0.0,True,Non résolu
17_Lep,I_PRIM,1,1,1.0,0.1,True,Non résolu
R_Leo,V_Cnt748,0,1,0.0,0.0,True,Non résolu
BW_Oct,V_N_R,0,0,,0.0,True,Non résolu
V_Psa,N_R,1,1,1.0,0.1,True,Non résolu
R_Crt,N_R,1,1,1.0,0.1,True,Non résolu
W_Hya,Cnt820_Cnt748,1,1,1.0,0.1,True,Non résolu
V854_Cen,I_PRIM,1,1,1.0,0.1,True,Non résolu
V854_Cen,V,1,1,1.0,0.1,True,Non résolu
Psi_Phe,V_N_R,0,0,,0.0,True,Non résolu
SW_Col,V_N_R,1,0,inf,0.1,True,Nettement résolu
R_Aqr,CntHa_N_Ha,0,1,0.0,0.0,False,Non résolu
R_Aqr,V,1,1,1.0,0.1,True,Non résolu
Y_Pav,V_N_R,0,0,,0.0,True,Non résolu
GY_Aql,VBB,1,1,1.0,0.1,True,Non résolu
T_Cet,V_N_R,1,0,inf,0.1,True,Nettement résolu
T_Cet,CntHa_B_Ha,1,1,1.0,0.1,True,Non résolu
AH_Sco,Cnt820_Cnt748,1,1,1.0,0.1,True,Non résolu
AH_Sco,N_R,1,1,1.0,0.1,True,Non résolu
AH_Sco,Cnt820,1,1,1.0,0.1,True,Non résolu
AH_Sco,V,1,1,1.0,0.1,True,Non résolu
Bet_Gru,V_N_R,0,0,,0.0,True,Non résolu
Bet_Gru,V,1,1,1.0,0.1,True,Non résolu
U_Her,VBB,1,1,1.0,0.1,True,Non résolu
*L02_Pup,V_N_R,0,0,,0.0,True,Non résolu
W_Peg,V_N_R,0,0,,0.0,True,Non résolu
Ups_Cet,V_N_R,1,0,inf,0.1,True,Nettement résolu
Alpha_Her,V_Cnt748,0,1,0.0,0.0,True,Non résolu
W_Aql,VBB,1,1,1.0,0.1,True,Non résolu
R_Aql,Cnt820_Cnt748,0,1,0.0,0.0,True,Non résolu
R_Aql,N_R,1,1,1.0,0.1,True,Non résolu
S_Lep,I_PRIM,1,1,1.0,0.1,True,Non résolu
