Star,Filter,Star FWHM,PSF FWHM,Ratio,Uncertainty,Has PSF
DZ_Aqr,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
IRC+10420,V_N_R,926.0,7.0,132.28571428571428,92.60000000000001,True
IRC+10420,I_PRIM_R_PRIM,21.0,16.2,1.2962962962962963,2.1,False
IRC+10420,Cnt820,360.0,82.0,4.390243902439025,36.0,True
IRC+10420,V,444.0,8.0,55.5,44.400000000000006,True
RT_Vir,Cnt820,13.0,82.0,0.15853658536585366,1.3,True
RT_Vir,V,7.0,8.0,0.875,0.7000000000000001,True
R_Scl,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
T_Mic,Cnt820_Cnt748,7.0,7.0,1.0,0.7000000000000001,True
T_Mic,V_N_R,8.0,7.0,1.1428571428571428,0.8,True
T_Mic,N_R,9.0,7.0,1.2857142857142858,0.9,True
Mira,Cnt820_Cnt748,11.0,7.0,1.5714285714285714,1.1,True
Mira,CntHa_N_Ha,11.0,16.2,0.6790123456790124,1.1,False
Mira,CntHa_B_Ha,13.0,7.0,1.8571428571428572,1.3,True
Mira,N_R,11.0,7.0,1.5714285714285714,1.1,True
Mira,V,11.0,8.0,1.375,1.1,True
Y_Oph,N_R,7.0,7.0,1.0,0.7000000000000001,True
Y_Oph,V,7.0,8.0,0.875,0.7000000000000001,True
Z_Peg,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
SV_Aqr,VBB,7.0,9.0,0.7777777777777778,0.7000000000000001,True
UY_Sct,Cnt820,49.0,82.0,0.5975609756097561,4.9,True
UY_Sct,V,50.0,8.0,6.25,5.0,True
RX_Lep,CntHa,7.0,7.0,1.0,0.7000000000000001,True
RX_Lep,N_R,55.0,7.0,7.857142857142857,5.5,True
V1943_Sgr,V_N_R,9.0,7.0,1.2857142857142858,0.9,True
R_Dor,V,21.0,8.0,2.625,2.1,True
R_Hor,V_N_R,9.0,7.0,1.2857142857142858,0.9,True
CW_Cnc,I_PRIM,9.0,21.0,0.42857142857142855,0.9,True
Z_Eri,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
AK_Hya,N_R,7.0,7.0,1.0,0.7000000000000001,True
AK_Hya,R_PRIM,172.0,16.2,10.617283950617285,17.2,False
EU_Del,Cnt820,27.0,82.0,0.32926829268292684,2.7,True
EU_Del,V,20.0,8.0,2.5,2.0,True
Y_Scl,V_N_R,6.0,7.0,0.8571428571428571,0.6000000000000001,True
Y_Scl,R_PRIM,9.0,16.2,0.5555555555555556,0.9,False
Y_Scl,VBB,70.0,9.0,7.777777777777778,7.0,True
R_Hya,V_Cnt748,11.0,7.0,1.5714285714285714,1.1,True
R_Hya,CntHa,11.0,7.0,1.5714285714285714,1.1,True
R_Hya,Cnt820,20.0,82.0,0.24390243902439024,2.0,True
SW_Vir,N_R,8.0,7.0,1.1428571428571428,0.8,True
VX_Sgr,Cnt820,80.0,82.0,0.975609756097561,8.0,True
VX_Sgr,V,95.0,8.0,11.875,9.5,True
Pi.01_Gru,Cnt820_Cnt748,10.0,7.0,1.4285714285714286,1.0,True
Pi.01_Gru,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
Chi_Cyg,V_Cnt748,12.0,7.0,1.7142857142857142,1.2000000000000002,True
Chi_Cyg,CntHa_B_Ha,9.0,7.0,1.2857142857142858,0.9,True
R_Peg,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
V_Hya,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
V_Hya,V_Cnt748,7.0,7.0,1.0,0.7000000000000001,True
AC_Cet,V_N_R,8.0,7.0,1.1428571428571428,0.8,True
BK_Vir,Cnt820,11.0,82.0,0.13414634146341464,1.1,True
S_Pav,Cnt820_Cnt748,9.0,7.0,1.2857142857142858,0.9,True
S_Pav,N_R,9.0,7.0,1.2857142857142858,0.9,True
KW_Sgr,VBB,31.0,9.0,3.4444444444444446,3.1,True
17_Lep,I_PRIM,9.0,21.0,0.42857142857142855,0.9,True
R_Leo,V_Cnt748,15.0,7.0,2.142857142857143,1.5,True
BW_Oct,V_N_R,8.0,7.0,1.1428571428571428,0.8,True
V_Psa,N_R,8.0,7.0,1.1428571428571428,0.8,True
R_Crt,N_R,9.0,7.0,1.2857142857142858,0.9,True
W_Hya,Cnt820_Cnt748,25.0,7.0,3.5714285714285716,2.5,True
V854_Cen,I_PRIM,94.0,21.0,4.476190476190476,9.4,True
V854_Cen,V,11.0,8.0,1.375,1.1,True
Psi_Phe,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
SW_Col,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
R_Aqr,CntHa_N_Ha,8.0,16.2,0.4938271604938272,0.8,False
R_Aqr,V,15.0,8.0,1.875,1.5,True
Y_Pav,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
GY_Aql,VBB,9.0,9.0,1.0,0.9,True
T_Cet,V_N_R,9.0,7.0,1.2857142857142858,0.9,True
T_Cet,CntHa_B_Ha,7.0,7.0,1.0,0.7000000000000001,True
AH_Sco,Cnt820_Cnt748,7.0,7.0,1.0,0.7000000000000001,True
AH_Sco,N_R,9.0,7.0,1.2857142857142858,0.9,True
AH_Sco,Cnt820,79.0,82.0,0.9634146341463414,7.9,True
AH_Sco,V,186.0,8.0,23.25,18.6,True
Bet_Gru,V_N_R,9.0,7.0,1.2857142857142858,0.9,True
Bet_Gru,V,7.0,8.0,0.875,0.7000000000000001,True
U_Her,VBB,11.0,9.0,1.2222222222222223,1.1,True
*L02_Pup,V_N_R,13.0,7.0,1.8571428571428572,1.3,True
W_Peg,V_N_R,11.0,7.0,1.5714285714285714,1.1,True
Ups_Cet,V_N_R,7.0,7.0,1.0,0.7000000000000001,True
Alpha_Her,V_Cnt748,9.0,7.0,1.2857142857142858,0.9,True
W_Aql,VBB,9.0,9.0,1.0,0.9,True
R_Aql,Cnt820_Cnt748,7.0,7.0,1.0,0.7000000000000001,True
R_Aql,N_R,7.0,7.0,1.0,0.7000000000000001,True
S_Lep,I_PRIM,9.0,21.0,0.42857142857142855,0.9,True
