Star,Filter,FWHM_Star,FWHM_PSF,Ratio,Has_PSF
DZ_Aqr,V,,,1.0,True
DZ_Aqr,N_R,,,1.0,True
IRC+10420,V,,,1.0,True
IRC+10420,N_R,,0.0,1.0,False
IRC+10420,I_PRIM,,42.64598517558818,1.0,False
IRC+10420,R_PRIM,,1.0,1.0,False
IRC+10420,Cnt820,,,1.0,True
RT_Vir,Cnt820,,0.0,1.0,False
RT_Vir,V,,0.0,1.0,False
R_Scl,V,,,1.0,True
R_Scl,N_R,,,1.0,True
T_Mic,Cnt820,,,1.0,True
T_Mic,Cnt748,,,1.0,True
T_Mic,V,,,1.0,True
T_Mic,N_R,,,1.0,True
Mira,Cnt820,,,1.0,True
Mira,Cnt748,,,1.0,True
Mira,CntHa,,,1.0,True
Mira,N_Ha,,1.0,1.0,False
Mira,B_Ha,,,1.0,True
Mira,N_R,,,1.0,True
Mira,V,,,1.0,True
Y_Oph,N_R,,,1.0,True
Y_Oph,V,,,1.0,True
Z_Peg,V,,,1.0,True
Z_Peg,N_R,,,1.0,True
SV_Aqr,VBB,,,1.0,True
UY_Sct,Cnt820,,0.0,1.0,False
UY_Sct,V,,0.0,1.0,False
RX_Lep,CntHa,,,1.0,True
RX_Lep,N_R,87.45072795108533,0.0,1.0,False
V1943_Sgr,V,,,1.0,True
V1943_Sgr,N_R,,,1.0,True
R_Dor,V,,0.0,1.0,False
R_Hor,V,,,1.0,True
R_Hor,N_R,,,1.0,True
CW_Cnc,I_PRIM,,42.64598517558818,1.0,False
Z_Eri,V,,0.0,1.0,False
Z_Eri,N_R,,0.0,1.0,False
EU_Del,Cnt820,66.48653459007738,0.0,1.0,False
EU_Del,V,58.06759724204102,0.0,1.0,False
Y_Scl,V,,,1.0,True
Y_Scl,N_R,,,1.0,True
Y_Scl,R_PRIM,,1.0,1.0,False
Y_Scl,VBB,,,1.0,True
R_Hya,V,,0.0,1.0,False
R_Hya,Cnt748,,0.0,1.0,False
R_Hya,CntHa,,0.0,1.0,False
R_Hya,Cnt820,,0.0,1.0,False
SW_Vir,N_R,,0.0,1.0,False
VX_Sgr,Cnt820,,0.0,1.0,False
VX_Sgr,V,,0.0,1.0,False
Pi.01_Gru,Cnt820,19.436035774924676,0.0,1.0,False
Pi.01_Gru,Cnt748,27.121219726555466,0.0,1.0,False
Pi.01_Gru,V,,,1.0,True
Pi.01_Gru,N_R,,,1.0,True
Chi_Cyg,V,,,1.0,True
Chi_Cyg,Cnt748,,,1.0,True
Chi_Cyg,CntHa,,,1.0,True
Chi_Cyg,B_Ha,,,1.0,True
R_Peg,V,,,1.0,True
R_Peg,N_R,,,1.0,True
V_Hya,V,,,1.0,True
V_Hya,N_R,,,1.0,True
V_Hya,Cnt748,,,1.0,True
AC_Cet,V,,,1.0,True
AC_Cet,N_R,,,1.0,True
BK_Vir,Cnt820,,0.0,1.0,False
S_Pav,Cnt820,,,1.0,True
S_Pav,Cnt748,,,1.0,True
S_Pav,N_R,,,1.0,True
KW_Sgr,VBB,,,1.0,True
17_Lep,I_PRIM,,42.64598517558818,1.0,False
R_Leo,V,,0.0,1.0,False
R_Leo,Cnt748,,0.0,1.0,False
BW_Oct,V,,,1.0,True
BW_Oct,N_R,,,1.0,True
V_Psa,N_R,,0.0,1.0,False
R_Crt,N_R,,,1.0,True
W_Hya,Cnt820,,0.0,1.0,False
W_Hya,Cnt748,,0.0,1.0,False
V854_Cen,I_PRIM,,42.64598517558818,1.0,False
V854_Cen,V,,0.0,1.0,False
Psi_Phe,V,,,1.0,True
Psi_Phe,N_R,,,1.0,True
SW_Col,V,,,1.0,True
SW_Col,N_R,,,1.0,True
R_Aqr,CntHa,,0.0,1.0,False
R_Aqr,N_Ha,,1.0,1.0,False
R_Aqr,V,,,1.0,True
Y_Pav,V,,,1.0,True
Y_Pav,N_R,,,1.0,True
GY_Aql,VBB,,,1.0,True
T_Cet,V,46.282482968863846,,1.0,True
T_Cet,N_R,44.730735778424034,,1.0,True
T_Cet,CntHa,,,1.0,True
T_Cet,B_Ha,,,1.0,True
AH_Sco,Cnt820,,0.0,1.0,False
AH_Sco,Cnt748,,0.0,1.0,False
AH_Sco,N_R,,0.0,1.0,False
AH_Sco,V,,0.0,1.0,False
Bet_Gru,V,,,1.0,True
Bet_Gru,N_R,,,1.0,True
U_Her,VBB,,0.0,1.0,False
*L02_Pup,V,,,1.0,True
*L02_Pup,N_R,,,1.0,True
W_Peg,V,,,1.0,True
W_Peg,N_R,,,1.0,True
Ups_Cet,V,,,1.0,True
Ups_Cet,N_R,,,1.0,True
Alpha_Her,V,,,1.0,True
Alpha_Her,Cnt748,,,1.0,True
W_Aql,VBB,,0.0,1.0,False
R_Aql,Cnt820,,,1.0,True
R_Aql,Cnt748,,,1.0,True
R_Aql,N_R,,,1.0,True
S_Lep,I_PRIM,,42.64598517558818,1.0,False
